symbol,name,source_category,instrument_type,sector,status
CMF2,Citizens Mutual Fund - 2,Mutual Fund,mutual_fund,,listed
CORBL,Corporate Development Bank Limited,Development Bank,ordinary,Development Bank,listed
CORBLP,Corporate Development Bank Limited Promoter Share,Promoter Share,promoter_share,,listed
CREST,Crest Micro Life Insurance Limited,Life Insurance,ordinary,Life Insurance,listed
CSY,Citizens Santulit Yojana,Mutual Fund,mutual_fund,,listed
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
CZBIL,Citizens Bank International Limited,Commercial Bank,ordinary,Commercial Bank,listed
CZBILP,Citizens Bank International Limited Promoter Share,Promoter Share,promoter_share,,listed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
DHEL,Daramkhola Hydro Energy Limited,Hydropower,ordinary,Hydropower,listed
DHPL,Dibyashwari Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
DOLTI,Dolti Power Company Ltd,Hydropower,ordinary,Hydropower,listed
DORDI,Dordi Khola Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
EBL,Everest Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,Corporate Debentures,debenture,,listed
EBLD86,8.5% Everest Bank Debenture,Corporate Debentures,debenture,,listed
EBLD91,7.50% Everest Bank Limited Debenture  2091,Corporate Debentures,debenture,,listed
ECL,Everest Colour Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
EDBL,Excel Development Bank Limited,Development Bank,ordinary,Development Bank,listed
EHPL,Eastern Hydropower Limited,Hydropower,ordinary,Hydropower,listed
ENL,Emerging Nepal Limited,Investment,ordinary,Investment,listed
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
GBBD85,8.75% Garima Debenture 2085,Corporate Debentures,debenture,,listed
GBBL,Garima Bikas Bank Limited,Development Bank,ordinary,Development Bank,listed
GBILD84-85,11.25% Global IME Bank Debenture 2084/85,Corporate Debentures,debenture,,listed
GBILD86-87,8.5% Global IME Bank Ltd. Debenture 2086/87,Corporate Debentures,debenture,,listed
GBIME,Global IME Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
GBIMEP,Global IME Bank Limited Promoter Share,Promoter Share,promoter_share,,listed
GBIMESY2,Global IME Samunnat Yojana -II,Mutual Fund,mutual_fund,,listed
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
GCIL,Ghorahi Cement Industry Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
GFCL,Goodwill Finance Company Limited,Finance,ordinary,Finance,listed
GHL,Ghalemdi Hydro Limited,Hydropower,ordinary,Hydropower,listed
GIBF1,Global IME Balanced Fund-I,Mutual Fund,mutual_fund,,listed
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
GLH,Greenlife Hydropower Limited,Hydropower,ordinary,Hydropower,listed
GLICL,Gurans Life Insurance Company Limited,Merged,ordinary,,merged
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
GMFIL,Guheswori Merchant Banking & Finance Limited,Finance,ordinary,Finance,listed
GMLI,Guardian Micro Life Insurance Limited,Life Insurance,ordinary,Life Insurance,listed
GRDBL,Green Development Bank Limited,Development Bank,ordinary,Development Bank,listed
GSY,Garima Samriddhi Yojana,Mutual Fund,mutual_fund,,listed
GUFL,Gurkhas Finance Limited,Finance,ordinary,Finance,listed
GUFLPO,Gurkhas Finance Limited Promoter Share,Promoter Share,promoter_share,,listed
GVL,Green Ventures Limited,Hydropower,ordinary,Hydropower,listed
GWFD83,12% Goodwill Finance Limited Debenture 2083,Corporate Debentures,debenture,,listed
H8020,Himalayan 80-20,Mutual Fund,mutual_fund,,listed
HATHY,Hathway Investment Nepal Limited,Investment,ordinary,Investment,listed
HBL,Himalayan Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
HBLD86,Himalayan Bank Limited Bond 2086,Government Bonds,government_bond,,listed
HDHPC,Himal Dolakha Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
HDL,Himalayan Distillery Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
HEI,Himalayan Everest Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
HEIP,Himalayan Everest Insurance Limited Promoter,Promoter Share,promoter_share,,listed
HFIN,Hotel Forest Inn Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
HHL,Himalayan Hydropower Limited,Hydropower,ordinary,Hydropower,listed
HIDCL,Hydroelectricity Investment and Development Company Limited,Investment,ordinary,Investment,listed
HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,Promoter Share,promoter_share,,listed
HIMSTAR,Him Star Urja Company Limited,Hydropower,ordinary,Hydropower,listed
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,ordinary,Microfinance,listed
HLI,Himalayan Life Insurance Limited,Life Insurance,ordinary,Life Insurance,listed
HLICF,HLI Large Cap Fund,Mutual Fund,mutual_fund,,listed
HPPL,Himalayan Power Partner Limited,Hydropower,ordinary,Hydropower,listed
HRL,Himalayan Reinsurance Limited,Others,ordinary,,listed
HURJA,Himalaya Urja Bikas Company Limited,Hydropower,ordinary,Hydropower,listed
ICFC,ICFC Finance Limited,Finance,ordinary,Finance,listed
ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debentures,debenture,,listed
ICFCD88,9% ICFC Finance Limited Debenture 2088,Corporate Debentures,debenture,,listed
ICFCD89,8% ICFC  Finance Limited Debenture 2089,Corporate Debentures,debenture,,listed
IGI,IGI Prudential Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
IHL,Ingwa Hydropower Ltd,Hydropower,ordinary,Hydropower,listed
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
ILBSP,Infinity Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,promoter_share,,listed
ILI,IME Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
JBBD87,Jyoti Bikash Bank Bond 2087,Government Bonds,government_bond,,listed
JBBL,Jyoti Bikash Bank Limited,Development Bank,ordinary,Development Bank,listed
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
JFL,Janaki Finance Company Limited,Finance,ordinary,Finance,listed
JHAPA,Jhapa Energy Limited,Others,ordinary,,listed
JLI,Jyoti Life Insurance Company Limited,Merged,ordinary,,merged
JOSHI,Joshi Hydropower Development Company Limited,Hydropower,ordinary,Hydropower,listed
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
KAHL,Kalanga Hydro Limited,Hydropower,ordinary,Hydropower,listed
KBL,Kumari Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
KBLD86,10.25% Kumari Bank Debenture 2086,Corporate Debentures,debenture,,listed
KBLD89,11% KBL Debenture 2089,Corporate Debentures,debenture,,listed
KBLD90,10% KBL Debenture 2090,Corporate Debentures,debenture,,listed
KBLPO,Kumari Bank Limited Promotor Share,Promoter Share,promoter_share,,listed
KBSH,Kutheli Bukhari Small Hydropower Limited,Hydropower,ordinary,Hydropower,listed
KDBY,Kumari Dhanabriddhi Yojana,Mutual Fund,mutual_fund,,listed
KDL,Kalinchowk Darshan Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
KEF,Kumari Equity Fund,Mutual Fund,mutual_fund,,listed
KHPL,Kalinchowk Hydropower Limited,Hydropower,ordinary,Hydropower,listed
KKHC,Khani Khola Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
KPCL,Kalika Power Company Limited,Hydropower,ordinary,Hydropower,listed
KRBL,Karnali Development Bank Limited,Development Bank,ordinary,Development Bank,listed
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,ordinary,Development Bank,listed
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,Corporate Debentures,debenture,,listed
KSY,Kumari Sabal Yojana,Mutual Fund,mutual_fund,,listed
LBBL,Lumbini Bikas Bank Limited,Development Bank,ordinary,Development Bank,listed
LBBLD89,11% LBBL Debenture 2089,Corporate Debentures,debenture,,listed
LBL,Laxmi Bank Limited,Merged,ordinary,,merged
LBLD86,10% Laxmi Bank Debenture 2086,Corporate Debentures,debenture,,listed
LBLD88,8.5% Laxmi Bank Debenture,Corporate Debentures,debenture,,listed
LEC,Liberty Energy Company Limited,Hydropower,ordinary,Hydropower,listed
