symbol,name,source_category,instrument_type,sector,status
NICFC,NIC Asia Flexi Cap Fund,Mutual Fund,mutual_fund,,listed
NICGF2,NIC Asia Growth Fund 2,Mutual Fund,mutual_fund,,listed
NICL,Nepal Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
NICSF,NIC Asia Select-30,Mutual Fund,mutual_fund,,listed
NIFRA,Nepal Infrastructure Bank Limited,Investment,ordinary,Investment,listed
NIFRAGED,6% Nifra Harit Urja Debenture 2088/89,Corporate Debentures,debenture,,listed
NIFRAUR85-86,7% NIFRA Urja Rinpatra 2085/86,Corporate Debentures,debenture,,listed
NIL,Neco Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
NIMB,Nepal Investment Mega Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
NIMBD90,10% NIMB Debenture 2090,Corporate Debentures,debenture,,listed
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Promoter Share,promoter_share,,listed
NLG,NLG Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
NLIC,Nepal Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
NLICL,National Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
NLO,Nepal Lube Oil Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
NMB,NMB Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
NMB50,NMB 50,Mutual Fund,mutual_fund,,listed
NMBD2085,10% NMB Debenture 2085,Corporate Debentures,debenture,,listed
NMBD87-88,8.5% NMB Rinpatra 2087/88,Corporate Debentures,debenture,,listed
NMBD89-90,10.75% NMB Debenture  2089/2090,Corporate Debentures,debenture,,listed
NMBHF2,NMB Hybrid Fund L-II,Mutual Fund,mutual_fund,,listed
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
NMBPO,NMB Bank Limited Promoter Share,Promoter Share,promoter_share,,listed
NMBUR93-94,4% NMB Urja Rinpatra (Energy Bond II) 2093/94,Corporate Debentures,debenture,,listed
NMFBS,National Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
NMIC,Nepal Micro Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
NRIC,Nepal Reinsurance Company Limited,Others,ordinary,,listed
NRM,Nepal Republic Media Limited,Others,ordinary,,listed
NRN,NRN Infrastructure and Development Limited,Investment,ordinary,Investment,listed
NSIF2,NMB Sulav Investment Fund - II,Mutual Fund,mutual_fund,,listed
NSY,Nepal Life Samriddhi Lagani Yojana,Mutual Fund,mutual_fund,,listed
NTC,Nepal Doorsanchar Company Limited,Others,ordinary,,listed
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
NWCL,Nepal Warehousing Company Limited,Others,ordinary,,listed
NYADI,Nyadi Hydropower  Limited,Hydropower,ordinary,Hydropower,listed
OHL,Oriental Hotel Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
PBD84,10.15% Prime Debenture 2084,Corporate Debentures,debenture,,listed
PBD85,8.75% Prime Debenture 2085,Corporate Debentures,debenture,,listed
PBD88,10% Prime Debenture 2088,Corporate Debentures,debenture,,listed
PBLD84,10% Prabhu Bank Debenture 2084 (PBLD84),Corporate Debentures,debenture,,listed
PBLD86,10.25% Prabhu Bank Debenture 2086,Corporate Debentures,debenture,,listed
PBLD87,8.5% Prabhu Bank Debenture 2087,Corporate Debentures,debenture,,listed
PCBL,Prime Commercial Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
PCBLP,Prime Commercial Bank Limited Promoter Share,Promoter Share,promoter_share,,listed
PCIL,Palpa Cements Industries Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
PFL,Pokhara Finance Limited,Finance,ordinary,Finance,listed
PHCL,Peoples Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
PLI,Prabhu Life Insurance Limited,Merged,ordinary,,merged
PLIC,Prime Life Insurance Company Limited,Merged,ordinary,,merged
PMHPL,Panchakanya Mai Hydropower Limited,Hydropower,ordinary,Hydropower,listed
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
PPCL,Panchthar Power Company Limited,Hydropower,ordinary,Hydropower,listed
PPL,People's Power Limited,Hydropower,ordinary,Hydropower,listed
PRIN,Prabhu Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
PROFL,Progressive Finance Limited,Finance,ordinary,Finance,listed
PRSF,Prabhu Smart Fund,Mutual Fund,mutual_fund,,listed
PRVU,Prabhu Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
PRVUPO,Prabhu Bank Limited Promoter Share,Promoter Share,promoter_share,,listed
PSF,Prabhu Select Fund,Mutual Fund,mutual_fund,,listed
PURE,Pure Energy Limited,Others,ordinary,,listed
RADHI,Radhi Bidyut Company Limited,Hydropower,ordinary,Hydropower,listed
RAWA,Rawa Energy Development Ltd.,Hydropower,ordinary,Hydropower,listed
RBBD2088,7% RBBL Debenture 2088,Corporate Debentures,debenture,,listed
RBBD83,8.5% RBBL Debenture 2083,Corporate Debentures,debenture,,listed
RBBF40,RBB Focus 40,Mutual Fund,mutual_fund,,listed
RBCL,Rastriya Beema Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
RBCLPO,Rastriya Beema Company Limited Promoter Share,Promoter Share,promoter_share,,listed
RFPL,River Falls Power Limited,Hydropower,ordinary,Hydropower,listed
RHGCL,Rapti Hydro & General Construction Limited,Hydropower,ordinary,Hydropower,listed
RHPC,Ridi Hydropower Development Company Limited,Merged,ordinary,,merged
RHPL,Rasuwagadhi Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
RIDI,Ridi Power Company Limited,Hydropower,ordinary,Hydropower,listed
RLEL,Ridge Line Energy Limited,Hydropower,ordinary,Hydropower,listed
RLFL,Reliance Finance Limited,Finance,ordinary,Finance,listed
RLI,Reliance Life Insurance Limited,Merged,ordinary,,merged
RMF1,RBB Mutual Fund 1,Mutual Fund,mutual_fund,,listed
RMF2,RBB Mutual Fund 2,Mutual Fund,mutual_fund,,listed
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance,ordinary,Life Insurance,listed
RRHP,Rairang Hydropower Development Company Limited.,Merged,ordinary,,merged
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
RSML,Reliance Spinning Mills Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
RSY,Reliable Samriddhi Yojana,Mutual Fund,mutual_fund,,listed
RSY2,Reliable Samriddhi Yojana-2,Mutual Fund,mutual_fund,,listed
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydropower,ordinary,Hydropower,listed
SABBL,Salapa Bikas Bank Limited,Development Bank,ordinary,Development Bank,listed
SADBL,Shangrila Development Bank Limited,Development Bank,ordinary,Development Bank,listed
SAEF2,Sanima Equity Fund II,Mutual Fund,mutual_fund,,listed
SAGAR,Sagar Distillery Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SAGF,Sanima Growth Fund,Mutual Fund,mutual_fund,,listed
SAHAS,Sahas Urja Limited,Hydropower,ordinary,Hydropower,listed
SAIL,Shreenagar Agritech Industries Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SALICO,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
SALICOPO,Sagarmatha Lumbini Insurance Company Limited Promoter Share,Promoter Share,promoter_share,,listed
SANIMA,Sanima Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
SANVI,Sanvi Energy Limited,Hydropower,ordinary,Hydropower,listed
SAPDBL,Saptakoshi Development Bank Limited,Development Bank,ordinary,Development Bank,listed
SAPIL,Sarvottam Paints Industries Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SARBTM,Sarbottam Cement Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SBCF,Sunrise Bluechip Fund,Mutual Fund,mutual_fund,,listed
SBD87,8.5% Sanima Debenture 2087,Corporate Debentures,debenture,,listed
SBD89,10.25% Sanima Debenture 2089,Corporate Debentures,debenture,,listed
SBI,Nepal SBI Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
SBID2090,7% Nepal SBI Bank Debenture 2090,Corporate Debentures,debenture,,listed
SBID83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,debenture,,listed
SBID89,9% Nepal SBI Bank Debenture 2089,Corporate Debentures,debenture,,listed
SBL,Siddhartha Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
SBLD2091,7.25% SBL Debenture 2091,Corporate Debentures,debenture,,listed
SBLD83,10.25% SBL Debenture 2083,Corporate Debentures,debenture,,listed
SBLD84,8.5% SBL Debenture 2084,Corporate Debentures,debenture,,listed
SBLD89,10.75 % SBL Debenture 2089,Corporate Debentures,debenture,,listed
SCB,Standard Chartered Bank Nepal Limited,Commercial Bank,ordinary,Commercial Bank,listed
SCBD,10.30% Standard Chartered Bank Nepal Limited Debenture,Corporate Debentures,debenture,,listed
SDBD87,"9% Shangrila Development Bank Debenture, 2087",Corporate Debentures,debenture,,listed
SEF,Siddhartha Equity Fund,Mutual Fund,mutual_fund,,listed
SEF2,Siddhartha Equity Fund 2,Mutual Fund,mutual_fund,,listed
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Merged,ordinary,,merged
SFEF,Sunrise Focused Equity Fund,Mutual Fund,mutual_fund,,listed
SFMF,Sunrise First Mutual Fund,Mutual Fund,mutual_fund,,listed
SGHC,Swet-Ganga Hydropower & Construction Limited,Hydropower,ordinary,Hydropower,listed
SGHL,Sanigad Hydro Limited,Hydropower,ordinary,Hydropower,listed
SGIC,Sanima GIC Insurance Limited,Non-Life Insurance,ordinary,Non-Life Insurance,listed
SHBL,Sahara Bikas Bank Limited,Merged,ordinary,,merged
SHEL,Singati Hydro Energy Limited,Hydropower,ordinary,Hydropower,listed
SHINE,Shine Resunga Development Bank Limited,Development Bank,ordinary,Development Bank,listed
SHINED,Shine Resunga Debenture,Corporate Debentures,debenture,,listed
SHIVM,Shivam Cements Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
SHL,Soaltee Hotel Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
