published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-09-10,1000,1035,1000,1026,2.6,9717,9985362.7,A
2026-09-11,1026,1031,1020,1026,0,7429,7628139.8,A
2026-09-14,1010,1053,1010,1038,1.17,6899,7200666.4,A
2026-09-15,1025,1042,1025,1040,0.19,3215,3335689.5,A
2026-09-16,1020,1042.9,1020,1036,-0.38,3501,3623188,A
2026-09-17,1036,1067,1036,1041,0.48,13707,14453993.3,A
2026-09-18,1028,1072,1028,1048,0.67,8453,8976401,A
2026-09-22,996,1069.9,996,1069.8,2.08,5705,5996206.7,A
2026-09-23,1069.8,1117,1033.3,1068,-0.17,67448,74637200.2,A
