published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,1150,1150,1150,1150,0.88,50,57500,A
2026-08-13,1150,1150,1150,1134,-1.39,1,1134,A
2026-08-14,1136,1136,1136,1136,0.18,25,28400,A
