published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-13,2599.58,2607.04,2566.27,2570.18,-1.17,,7468416116.81,A
2026-07-14,2569.47,2584.30,2546.69,2576.29,0.23,,8417570425.82,A
2026-07-15,2577.19,2601.99,2576.61,2590.29,0.54,,4170398049.64,A
2026-07-16,2605.32,2606.89,2581.09,2597.80,0.28,,2870096911.41,A
2026-07-17,2598.95,2677.64,2598.24,2677.54,3.06,,4575094723.51,A
2026-07-20,2661.83,2719.28,2659.53,2719.24,1.55,,5512688979.27,A
2026-07-21,2719.31,2754.08,2704.96,2726.49,0.26,,6671017971.84,A
2026-07-22,2719.46,2722.58,2694.54,2712.54,-0.51,,5187467073.77,A
2026-07-23,2695.38,2726.77,2689.30,2726.72,0.52,,4693449370.67,A
2026-07-24,2719.62,2747.23,2715.51,2734.60,0.28,,6267226722.57,A
2026-07-27,2715.45,2744.89,2693.03,2701.32,-1.21,,6080863354.65,A
2026-07-28,2704.71,2705.83,2680.87,2696.67,-0.17,,4427298446.66,A
2026-07-29,2698.41,2706.85,2681.15,2688.88,-0.28,,4029457701.28,A
2026-07-30,2658.53,2695.86,2657.63,2672.58,-0.60,,3381318248.01,A
2026-07-31,2665.75,2692.23,2653.23,2685.54,0.48,,3759722340.76,A
2026-08-03,2658.61,2705.46,2658.08,2684.33,-0.04,,4572084231.39,A
2026-08-04,2685.75,2687.17,2659.80,2663.18,-0.78,,4070853610.94,A
2026-08-05,2665.42,2673.12,2652.91,2667.97,0.18,,4409872057.71,A
2026-08-06,2667.41,2678.22,2647.72,2654.15,-0.51,,4622777442.28,A
2026-08-07,2652.66,2657.44,2641.93,2650.09,-0.15,,3774361541.21,A
2026-08-10,2651.50,2653.95,2636.28,2641.06,-0.34,,3674419766.29,A
2026-08-11,2631.21,2656.21,2629.76,2641.85,0.03,,4110974674.86,A
2026-08-12,2639.99,2648.57,2629.22,2642.40,0.02,,3532105518.26,A
2026-08-13,2642.77,2656.54,2636.93,2651.21,0.33,,3724731079.99,A
2026-08-14,2649.24,2653.48,2638.64,2643.83,-0.27,,4275675402.84,A
2026-08-17,2641.09,2648.57,2633.37,2641.82,-0.07,,5525511872.75,A
2026-08-18,2644.49,2646.86,2616.17,2622.48,-0.73,,5073518662.89,A
2026-08-19,2622.92,2627.11,2609.84,2622.22,0.00,,3298019571.28,A
