published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,10,10,8.5,9.03,-9.7,17720,160077.19,A
2026-08-11,8.58,9.41,8.58,9.01,-0.22,18520,167019,A
