published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-09-07,1149.9,1149.9,1149.9,1149.9,-0.01,85,97741.5,A
2026-09-09,1115.5,1115.5,1115.5,1115.5,-2.99,205,228677.5,A
2026-09-11,1144.9,1145,1144.9,1145,2.64,439,502634.5,A
