published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-25,1015,1015,1015,1015,0,25,25375,A
2026-08-26,1025,1025,1025,1025,0.99,25,25625,A
2026-09-02,1008.6,1008.6,1006.1,1006.1,-1.84,300,302462.5,A
