published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-11,1010,1010,1010,1010,-2.23,50,50500,A
2026-08-18,1030,1030,1030,1030,1.98,25,25750,A
2026-09-22,1010.9,1010.9,1010.9,1010.9,-1.85,25,25272.5,A
2026-09-23,1041.2,1041.2,1041.2,1050,3.87,54,56260,A
