published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-19,103,103,103,103,0,24779,2552237,A
2026-08-21,103,103,103,103,0,142796,14707988,A
2026-08-26,105,105,105,105,1.94,308120,32352600,A
